city_key,country,city,preferred_city_query,latitude,longitude,geocode_source,geocode_source_url,match_confidence,review_notes
england__birmingham__8040049d,England,Birmingham,"Birmingham, England",52.48142,-1.89983,geonames_searchJSON,https://www.geonames.org/2655603,high,GeoNames name_equals match; selected 'Birmingham'; admin 'England'; feature PPLA2; population 1157603; 2.0 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
england__liverpool__99112030,England,Liverpool,"Liverpool, England",53.41058,-2.97794,geonames_searchJSON,https://www.geonames.org/2644210,high,GeoNames name_equals match; selected 'Liverpool'; admin 'England'; feature PPLA2; population 496770; 1.9 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
france__paris__24e72152,France,Paris,"Paris, France",48.85341,2.3488,geonames_searchJSON,https://www.geonames.org/2988507,high,GeoNames name_equals match; selected 'Paris'; admin 'Île-de-France'; feature PPLC; population 2138551; 4.5 km from trusted local centroid; top-vs-next score margin 189.0; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
france__rennes__b67c4912,France,Rennes,"Rennes, France",48.11109,-1.67431,geonames_searchJSON,https://www.geonames.org/2983990,high,GeoNames name_equals match; selected 'Rennes'; admin 'Bretagne'; feature PPLA; population 227830; 2.9 km from trusted local centroid; top-vs-next score margin 133.9; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
greece__athens__065bc95a,Greece,Athens,"Athens, Greece",37.98376,23.72784,geonames_searchJSON,https://www.geonames.org/264371,high,GeoNames name_equals match; selected 'Athens'; admin 'Αττική'; feature PPLC; population 664046; 2.3 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
iran__tehran__dbef9c9d,Iran,Tehran,"Tehran, Iran",35.69439,51.42151,geonames_searchJSON,https://www.geonames.org/112931,high,GeoNames name_equals match; selected 'Tehran'; admin 'استان تهران'; feature PPLC; population 7153309; 13.6 km from trusted local centroid; top-vs-next score margin 27.0; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
italy__genoa__7ed42ab8,Italy,Genoa,"Genoa, Italy",44.40478,8.94439,geonames_searchJSON,https://www.geonames.org/3176219,high,GeoNames name_equals match; selected 'Genoa'; admin 'Liguria'; feature PPLA; population 580097; 1.4 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
italy__milan__c8407de8,Italy,Milan,"Milan, Italy",45.46427,9.18951,geonames_searchJSON,https://www.geonames.org/3173435,high,GeoNames name_equals match; selected 'Milan'; admin 'Lombardia'; feature PPLA; population 1371498; 5.3 km from trusted local centroid; top-vs-next score margin 62.7; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
italy__turin__480c693b,Italy,Turin,"Turin, Italy",45.07049,7.68682,geonames_searchJSON,https://www.geonames.org/3165524,high,GeoNames name_equals match; selected 'Turin'; admin 'Piemonte'; feature PPLA; population 847287; 3.3 km from trusted local centroid; top-vs-next score margin 26.5; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
mexico__ciudad-universitaria__5b9c5f0d,Mexico,Ciudad Universitaria,"Ciudad Universitaria, Mexico",19.32312,-99.18495,geonames_searchJSON,https://www.geonames.org/3530583,medium,GeoNames name_equals match; selected 'Ciudad Universitaria'; admin 'Ciudad de México'; feature PPLX; 1.2 km from trusted local centroid; top-vs-next score margin 10.0; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Verified.
netherlands__rotterdam__aef1773f,Netherlands,Rotterdam,"Rotterdam, Netherlands",51.9225,4.47917,geonames_searchJSON,https://www.geonames.org/2747891,high,GeoNames name_equals match; selected 'Rotterdam'; admin 'Zuid-Holland'; feature PPL; population 868135; 1.8 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
mexico__pachuca__6c122437,Mexico,Pachuca,"Pachuca, Mexico",20.11697,-98.73329,geonames_searchJSON,https://www.geonames.org/13417867,medium,GeoNames name_equals match; selected 'Haytic'; admin 'San Luis Potosí'; feature PPL; 165.1 km from trusted local centroid; top-vs-next score margin 19.8; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Manually changed to current values.
saudi-arabia__jeddah__ef192a1c,Saudi Arabia,Jeddah,"Jeddah, Saudi Arabia",21.49012,39.18624,geonames_searchJSON,https://www.geonames.org/105343,high,GeoNames name_equals match; selected 'Jeddah'; admin 'مكة المكرّمة'; feature PPL; population 4697000; 30.4 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
scotland__edinburgh__3400bd0f,Scotland,Edinburgh,"Edinburgh, Scotland",55.95206,-3.19648,geonames_searchJSON,https://www.geonames.org/2650225,high,GeoNames name_equals match; selected 'Edinburgh'; admin 'Scotland'; feature PPLA; population 514990; 0.2 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
scotland__glasgow__4d9f298b,Scotland,Glasgow,"Glasgow, Scotland",55.86515,-4.25763,geonames_searchJSON,https://www.geonames.org/2648579,high,GeoNames name_equals match; selected 'Glasgow'; admin 'Scotland'; feature PPLA2; population 626410; 1.5 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
turkey__kadkoy__1aadf114,Turkey,Kadıköy,"Kadıköy, Turkey",40.97882,29.08268,geonames_searchJSON,https://www.geonames.org/744906,medium,GeoNames name_equals match; selected 'Kadıköy'; admin 'İstanbul'; feature PPL; 4.0 km from trusted local centroid; top-vs-next score margin 9.7; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Verified.
spain__valencia__f4b67044,Spain,Valencia,"Valencia, Spain",39.47391,-0.37966,geonames_searchJSON,https://www.geonames.org/2509954,high,GeoNames name_equals match; selected 'Valencia'; admin 'Valencia'; feature PPLA; population 824340; 2.0 km from trusted local centroid; top-vs-next score margin 101.7; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
tunisia__rades__3c5626c2,Tunisia,Radès,"Radès, Tunisia",36.76946,10.27468,geonames_searchJSON,https://www.geonames.org/2467815,high,GeoNames name_equals match; selected 'Radès'; admin 'ولاية بن عروس'; feature PPL; population 59998; 2.4 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
united-arab-emirates__abu-dhabi__2f0f3c6b,United Arab Emirates,Abu Dhabi,"Abu Dhabi, United Arab Emirates",24.45118,54.39696,geonames_searchJSON,https://www.geonames.org/292968,high,GeoNames name_equals match; selected 'Abu Dhabi'; admin 'أبو ظبي'; feature PPLC; population 1807000; 15.4 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
united-arab-emirates__dubai__454503b5,United Arab Emirates,Dubai,"Dubai, United Arab Emirates",25.07725,55.30927,geonames_searchJSON,https://www.geonames.org/292223,high,GeoNames name_equals match; selected 'Dubai'; admin 'دبي'; feature PPLA; population 3790000; 20.5 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
united-states__miami__a0eca83d,United States,Miami,"Miami, United States",25.77427,-80.19366,geonames_searchJSON,https://www.geonames.org/4164138,high,GeoNames name_equals match; selected 'Miami'; admin 'Florida'; feature PPLA2; population 487014; 23.3 km from trusted local centroid; top-vs-next score margin 74.7; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
algeria__bologhine__2a06eae9,Algeria,Bologhine,"Bologhine, Algeria",36.80673,3.04016,geonames_searchJSON,https://www.geonames.org/2503724,high,GeoNames name_equals match; selected 'Bologhine'; admin 'الجزائر'; feature PPLX; 0.9 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
algeria__tizi-ouzou__c56f377f,Algeria,Tizi Ouzou,"Tizi Ouzou, Algeria",36.71182,4.04591,geonames_searchJSON,https://www.geonames.org/2475744,high,GeoNames name_equals match; selected 'Tizi Ouzou'; admin 'تيزي وزو'; feature PPLA; population 104312; 3.4 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
argentina__avellaneda__53933d27,Argentina,Avellaneda,"Avellaneda, Argentina",-34.66018,-58.36744,geonames_searchJSON,https://www.geonames.org/7535637,high,GeoNames name_equals match; selected 'Avellaneda'; admin 'Buenos Aires'; feature PPLA2; 1.2 km from trusted local centroid; top-vs-next score margin 69.9; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
argentina__cordoba__87aaafb6,Argentina,Córdoba,"Córdoba, Argentina",-31.40648,-64.18853,geonames_searchJSON,https://www.geonames.org/3860259,high,GeoNames name_equals match; selected 'Córdoba'; admin 'Córdoba'; feature PPLA; population 2106734; 4.9 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
argentina__la-plata__278b9175,Argentina,La Plata,"La Plata, Argentina",-34.92126,-57.95442,geonames_searchJSON,https://www.geonames.org/3432043,high,GeoNames name_equals match; selected 'La Plata'; admin 'Buenos Aires'; feature PPLA; population 195443; 1.8 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
argentina__lanus__b56894e3,Argentina,Lanús,"Lanús, Argentina",-34.70757,-58.39132,geonames_searchJSON,https://www.geonames.org/3432135,high,GeoNames name_equals match; selected 'Lanús'; admin 'Buenos Aires'; feature PPLA2; 1.3 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
argentina__mendoza__eb872bb5,Argentina,Mendoza,"Mendoza, Argentina",-32.88946,-68.84582,geonames_searchJSON,https://www.geonames.org/3844421,high,GeoNames name_equals match; selected 'Mendoza'; admin 'Mendoza'; feature PPLA; population 114893; 1.6 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
argentina__rosario__cf0fb038,Argentina,Rosario,"Rosario, Argentina",-32.94682,-60.63932,geonames_searchJSON,https://www.geonames.org/3838583,high,GeoNames name_equals match; selected 'Rosario'; admin 'Santa Fe'; feature PPLA2; population 948312; 4.9 km from trusted local centroid; top-vs-next score margin 100.9; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
armenia__yerevan__cc3107b7,Armenia,Yerevan,"Yerevan, Armenia",40.17765,44.5126,geonames_searchJSON,https://www.geonames.org/616052,high,GeoNames name_equals match; selected 'Yerevan'; admin 'Քաղաք Երէվան'; feature PPLC; population 1144700; 4.4 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
australia__newcastle__c442928a,Australia,Newcastle,"Newcastle, Australia",-32.92953,151.7801,geonames_searchJSON,https://www.geonames.org/2155472,high,GeoNames name_equals match; selected 'Newcastle'; admin 'New South Wales'; feature PPLA2; population 508437; 5.1 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
australia__parramatta__5cb93a08,Australia,Parramatta,"Parramatta, Australia",-33.8178,151.00348,geonames_searchJSON,https://www.geonames.org/7281840,high,GeoNames name_equals match; selected 'Parramatta'; admin 'New South Wales'; feature PPLA2; population 26876; 6.6 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
australia__sydney__7905782c,Australia,Sydney,"Sydney, Australia",-33.86785,151.20732,geonames_searchJSON,https://www.geonames.org/2147714,high,GeoNames name_equals match; selected 'Sydney'; admin 'New South Wales'; feature PPLA; population 5557233; 4.9 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
austria__liebenau__2347f39f,Austria,Liebenau,"Liebenau, Austria",47.03333,15.46667,geonames_searchJSON,https://www.geonames.org/2772522,high,GeoNames name_equals match; selected 'Liebenau'; admin 'Steiermark'; feature PPLX; population 14447; 1.7 km from trusted local centroid; top-vs-next score margin 46.6; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
austria__linz__342e5b18,Austria,Linz,"Linz, Austria",48.30639,14.28611,geonames_searchJSON,https://www.geonames.org/2772400,high,GeoNames name_equals match; selected 'Linz'; admin 'Oberösterreich'; feature PPLA; population 204846; 1.6 km from trusted local centroid; top-vs-next score margin 59.9; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
austria__vienna__0b10dcf1,Austria,Vienna,"Vienna, Austria",48.20849,16.37208,geonames_searchJSON,https://www.geonames.org/2761369,high,GeoNames name_equals match; selected 'Vienna'; admin 'Wien'; feature PPLC; population 1691468; 5.2 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
germany__koblenz__0845f804,Germany,Koblenz,"Koblenz, Germany",50.35357,7.57883,geonames_searchJSON,https://www.geonames.org/2886946,medium,GeoNames name_equals match; selected 'Koblenz'; admin 'Rheinland-Pfalz'; feature PPLA3; population 107319; top-vs-next score margin 12.6; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Verified.
austria__wolfsberg__581feb5a,Austria,Wolfsberg,"Wolfsberg, Austria",46.84056,14.84417,geonames_searchJSON,https://www.geonames.org/2760910,high,GeoNames name_equals match; selected 'Wolfsberg'; admin 'Kärnten'; feature PPLA3; population 25035; 1.8 km from trusted local centroid; top-vs-next score margin 35.2; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
greece__nikaia__93de8026,Greece,Nikaia,"Nikaia, Greece",37.96667,23.65,geonames_searchJSON,https://www.geonames.org/256429,medium,GeoNames name_equals match; selected 'Níkaia'; admin 'Αττική'; feature PPLA3; population 89380; top-vs-next score margin 4.3; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Verified.
azerbaijan__tovuz__046748ac,Azerbaijan,Tovuz,"Tovuz, Azerbaijan",40.99249,45.62838,geonames_searchJSON,https://www.geonames.org/584821,high,GeoNames name_equals match; selected 'Tovuz'; admin 'Tovuz rayonu'; feature PPLA; population 177200; 0.2 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
belgium__anderlecht__9ef158b9,Belgium,Anderlecht,"Anderlecht, Belgium",50.83619,4.31454,geonames_searchJSON,https://www.geonames.org/2803201,high,GeoNames name_equals match; selected 'Anderlecht'; admin 'Brussel'; feature PPLA4; population 160553; 1.2 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
mexico__leon__a79bebbf,Mexico,León,"León, Mexico",21.12183,-101.68253,geonames_searchJSON,https://www.geonames.org/9010779,medium,GeoNames name_equals match; selected 'León'; admin 'Durango'; feature PPL; top-vs-next score margin 0.0; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Manual correction to current values.
belgium__denderleeuw__2661c298,Belgium,Denderleeuw,"Denderleeuw, Belgium",50.88506,4.07601,geonames_searchJSON,https://www.geonames.org/2799647,high,GeoNames name_equals match; selected 'Denderleeuw'; admin 'Vlaanderen'; feature PPL; population 16969; 0.4 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
belgium__forest__44e6a05e,Belgium,Forest,"Forest, Belgium",50.81678,4.32775,geonames_searchJSON,https://www.geonames.org/2798139,high,GeoNames name_equals match; selected 'Forest'; admin 'Brussel'; feature PPL; population 56254; 0.2 km from trusted local centroid; top-vs-next score margin 24.3; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
mexico__mazatlan__0bc2ee86,Mexico,Mazatlán,"Mazatlán, Mexico",23.22163,-106.41885,geonames_searchJSON,https://www.geonames.org/3996322,medium,GeoNames name_equals match; selected 'Mazatlán'; admin 'Sinaloa'; feature PPLA2; population 381583; top-vs-next score margin 8.6; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Verified.
belgium__liege__20fa3a3c,Belgium,Liège,"Liège, Belgium",50.63373,5.56749,geonames_searchJSON,https://www.geonames.org/2792413,high,GeoNames name_equals match; selected 'Liège'; admin 'Wallonië'; feature PPL; population 195278; 3.1 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
belgium__mechelen__5bb93991,Belgium,Mechelen,"Mechelen, Belgium",51.02574,4.47762,geonames_searchJSON,https://www.geonames.org/2791537,high,GeoNames name_equals match; selected 'Mechelen'; admin 'Vlaanderen'; feature PPL; population 77530; 1.4 km from trusted local centroid; top-vs-next score margin 110.1; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
belgium__sint-truiden__a9bccf22,Belgium,Sint-Truiden,"Sint-Truiden, Belgium",50.81679,5.18647,geonames_searchJSON,https://www.geonames.org/2786545,high,GeoNames name_equals match; selected 'Sint-Truiden'; admin 'Vlaanderen'; feature PPL; population 37859; 1.5 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
belgium__waregem__306d68da,Belgium,Waregem,"Waregem, Belgium",50.88898,3.42756,geonames_searchJSON,https://www.geonames.org/2784068,high,GeoNames name_equals match; selected 'Waregem'; admin 'Vlaanderen'; feature PPL; population 35896; 0.7 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
brazil__belo-horizonte__17075586,Brazil,Belo Horizonte,"Belo Horizonte, Brazil",-19.92083,-43.93778,geonames_searchJSON,https://www.geonames.org/3470127,high,GeoNames name_equals match; selected 'Belo Horizonte'; admin 'Minas Gerais'; feature PPLA; population 2721564; 8.3 km from trusted local centroid; top-vs-next score margin 102.0; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
brazil__braganca-paulista__c61f79ec,Brazil,Bragança Paulista,"Bragança Paulista, Brazil",-22.9527,-46.54418,geonames_searchJSON,https://www.geonames.org/3469092,high,GeoNames name_equals match; selected 'Bragança Paulista'; admin 'São Paulo'; feature PPLA2; population 176811; 1.6 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
brazil__curitiba__c7294ea8,Brazil,Curitiba,"Curitiba, Brazil",-25.42778,-49.27306,geonames_searchJSON,https://www.geonames.org/3464975,high,GeoNames name_equals match; selected 'Curitiba'; admin 'Paraná'; feature PPLA; population 1948626; 2.3 km from trusted local centroid; top-vs-next score margin 102.0; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
brazil__morumbi__7ffce1ca,Brazil,Morumbi,"Morumbi, Brazil",-23.59632,-46.70802,geonames_searchJSON,https://www.geonames.org/11962404,high,GeoNames name_equals match; selected 'Morumbi'; admin 'São Paulo'; feature PPLX; population 51715; 1.3 km from trusted local centroid; top-vs-next score margin 97.1; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
brazil__santos__e55fb59d,Brazil,Santos,"Santos, Brazil",-23.96083,-46.33361,geonames_searchJSON,https://www.geonames.org/3449433,high,GeoNames name_equals match; selected 'Santos'; admin 'São Paulo'; feature PPLA2; population 433656; 1.2 km from trusted local centroid; top-vs-next score margin 60.9; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
bulgaria__razgrad__8e28470b,Bulgaria,Razgrad,"Razgrad, Bulgaria",43.53331,26.51849,geonames_searchJSON,https://www.geonames.org/727696,high,GeoNames name_equals match; selected 'Razgrad'; admin 'Област Разград'; feature PPLA; population 28931; 0.7 km from trusted local centroid; top-vs-next score margin 62.4; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
canada__toronto__136a0089,Canada,Toronto,"Toronto, Canada",43.70643,-79.39864,geonames_searchJSON,https://www.geonames.org/6167865,high,GeoNames name_equals match; selected 'Toronto'; admin 'Ontario'; feature PPLA; population 2794356; 8.3 km from trusted local centroid; top-vs-next score margin 108.0; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
canada__vancouver__a9357d41,Canada,Vancouver,"Vancouver, Canada",49.24966,-123.11934,geonames_searchJSON,https://www.geonames.org/6173331,high,GeoNames name_equals match; selected 'Vancouver'; admin 'British Columbia'; feature PPL; population 662248; 3.1 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
chile__concepcion__f107dafd,Chile,Concepción,"Concepción, Chile",-36.82699,-73.04977,geonames_searchJSON,https://www.geonames.org/3893894,high,GeoNames name_equals match; selected 'Concepción'; admin 'Biobío'; feature PPLA; population 223574; 2.7 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
chile__el-salvador__5938f3bf,Chile,El Salvador,"El Salvador, Chile",-26.24398,-69.62546,geonames_searchJSON,https://www.geonames.org/3890417,high,GeoNames name_equals match; selected 'El Salvador'; admin 'Atacama'; feature PPLX; 0.9 km from trusted local centroid; top-vs-next score margin 77.0; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
colombia__medellin__b9c2f188,Colombia,Medellín,"Medellín, Colombia",6.245,-75.57151,geonames_searchJSON,https://www.geonames.org/3674962,high,GeoNames name_equals match; selected 'Medellín'; admin 'Antioquia'; feature PPLA; population 1999979; 2.4 km from trusted local centroid; top-vs-next score margin 73.0; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
